Time (Fraction of video),Normalized Popularity
0.0,0.934
0.01,0.1
0.02,0.111
0.03,0.158
0.04,0.116
0.05,0.114
0.06,0.188
0.07,0.1
0.08,0.1
0.09,0.13
0.1,0.122
0.11,0.1
0.12,0.1
0.13,0.103
0.14,0.116
0.15,0.128
0.16,0.273
0.17,0.249
0.18,0.182
0.19,0.184
0.2,0.158
0.21,0.171
0.22,0.152
0.23,0.16
0.24,0.206
0.25,0.123
0.26,0.1
0.27,0.102
0.28,0.1
0.29,0.144
0.3,0.13
0.31,0.129
0.32,0.106
0.33,0.103
0.34,0.1
0.35,0.115
0.36,0.114
0.37,0.117
0.38,0.141
0.39,0.1
0.4,0.1
0.41,0.1
0.42,0.1
0.43,0.1
0.44,0.1
0.45,0.1
0.46,0.1
0.47,0.117
0.48,0.1
0.49,0.104
0.5,0.1
0.51,0.1
0.52,0.1
0.53,0.112
0.54,0.1
0.55,0.1
0.56,0.1
0.57,0.1
0.58,0.1
0.59,0.1
0.6,0.1
0.61,0.1
0.62,0.1
0.63,0.1
0.64,0.1
0.65,0.1
0.66,0.1
0.67,0.1
0.68,0.1
0.69,0.1
0.7,0.1
0.71,0.1
0.72,0.1
0.73,0.1
0.74,0.1
0.75,0.1
0.76,0.1
0.77,0.1
0.78,0.1
0.79,1.0
0.8,0.1
0.81,0.1
0.82,0.1
0.83,0.1
0.84,0.1
0.85,0.1
0.86,0.1
0.87,0.1
0.88,0.1
0.89,0.1
0.9,0.1
0.91,0.1
0.92,0.1
0.93,0.1
0.94,0.1
0.95,0.1
0.96,0.1
0.97,0.1
0.98,0.1
0.99,0.1
